作者	Advice	Incomplete	Error	Crash	Doc	测试时间	分数	评测人
400	0	0	0	0	0	1457084364	None	574
482	1	0	1	0	0	1457084363	-3.00000	415
599	0	0	0	0	0	1457084364	0.00000	440
491	0	0	1	0	0	1457084363	-2.00000	607
571	1	0	2	1	0	1457084363	-9.00000	447
550	0	4	1	2	0	1457084364	-14.00000	507
661	0	0	0	0	0	1457084363	None	474
570	0	0	1	0	0	1457084364	-2.00000	542
582	0	1	1	1	0	1457084364	-7.00000	531
417	0	0	0	0	0	1457084364	None	457
529	0	0	3	0	0	1457084364	-6.00000	688
591	0	0	0	0	0	1457084363	0.00000	424
391	0	1	1	0	0	1457084364	-3.00000	406
420	0	0	1	1	0	1457084364	-6.00000	407
523	0	0	0	0	0	1457084364	None	582
489	0	1	2	0	0	1457084364	-5.00000	504
492	0	0	0	0	0	1457084363	None	229
449	1	0	1	1	0	1457084363	-6.00000	570
496	1	0	0	0	0	1457084364	-1.00000	459
531	0	1	1	0	0	1457084364	-3.00000	559
538	0	1	1	0	0	1457084363	-3.00000	533
525	1	1	1	0	0	1457084364	-4.00000	418
519	1	0	0	0	0	1457084364	-1.00000	585
568	0	1	0	0	0	1457084363	-1.00000	427
424	0	1	0	0	0	1457084363	-1.00000	550
607	0	0	0	0	0	1457084364	0.00000	556
606	0	0	1	0	0	1457084364	-2.00000	409
418	0	1	0	1	0	1457084363	-5.00000	430
585	0	0	0	0	0	1457084364	0.00000	573
390	1	0	0	0	0	1457084363	0.00000	578
499	0	0	1	0	0	1457084363	-2.00000	379
580	0	0	0	1	0	1457084364	-1.00000	465
456	1	0	1	1	0	1457084364	-7.00000	575
379	0	0	0	0	0	1457084364	0.00000	580
556	1	0	5	1	0	1457084364	-14.00000	509
547	0	0	0	0	0	1457084363	None	564
551	0	0	2	1	0	1457084363	-8.00000	420
450	0	1	0	1	0	1457084364	-5.00000	510
504	1	0	0	0	0	1457084364	0.00000	22
575	2	0	0	0	0	1457083566	0.00000	378
401	2	0	3	0	0	1457084363	-6.00000	586
498	0	0	0	0	0	1457084364	0.00000	598
514	0	0	3	0	0	1457084363	-6.00000	385
587	0	1	1	1	0	1457084364	-7.00000	458
467	0	0	0	0	0	1457084364	None	428
604	1	0	4	1	0	1457084363	-13.00000	445
578	0	1	0	0	0	1457084364	-1.00000	567
583	1	0	0	0	0	1457084363	-1.00000	548
688	0	0	0	0	0	1457084364	0.00000	381
460	0	1	0	0	0	1457084364	-1.00000	387
483	1	1	0	0	0	1457084363	-2.00000	497
554	0	1	0	0	0	1457084364	-1.00000	472
586	0	1	0	0	0	1457084363	-1.00000	397
466	0	1	1	0	0	1457084364	-3.00000	560
588	0	1	0	1	0	1457084364	-5.00000	606
429	0	0	1	1	0	1457084364	-6.00000	521
602	0	0	2	0	0	1457084364	-4.00000	482
500	1	0	0	0	0	1457084363	0.00000	519
560	1	1	0	1	0	1457084364	-6.00000	421
459	0	0	0	1	0	1457084364	-4.00000	401
603	0	0	0	0	0	1457084364	None	500
435	0	1	5	2	0	1457084364	-19.00000	588
440	1	0	0	0	0	1457084364	0.00000	656
448	0	0	1	1	0	1457084363	-6.00000	404
470	0	0	2	0	0	1457084364	-4.00000	587
428	0	1	2	2	0	1457084364	-13.00000	470
387	0	0	1	2	0	1457084364	-10.00000	442
388	1	1	1	0	0	1457084364	-4.00000	468
393	0	0	0	1	0	1457084363	-4.00000	16
493	0	0	1	0	0	1457084364	-2.00000	452
432	0	0	2	0	0	1457084364	-4.00000	522
505	1	1	2	0	0	1457084364	-6.00000	579
562	0	0	1	1	0	1457084364	-6.00000	486
506	0	0	0	0	0	1457084363	0.00000	384
412	1	1	0	0	0	1457084364	-2.00000	546
474	0	0	3	1	0	1457084364	-10.00000	487
476	0	0	0	0	0	1457084364	None	590
441	0	1	0	0	0	1457084364	-1.00000	703
512	1	0	0	0	0	1457084364	0.00000	525
451	0	0	0	0	0	1457084363	0.00000	395
472	0	0	3	0	0	1457084364	-6.00000	431
576	0	0	1	0	0	1457084364	-2.00000	545
454	0	0	3	2	0	1457084364	-14.00000	499
557	0	1	0	2	0	1457084364	-9.00000	506
577	0	0	2	0	0	1457084364	-4.00000	602
442	1	0	0	1	0	1457084364	-5.00000	423
478	0	0	0	0	0	1457084364	None	490
515	0	0	5	0	0	1457084363	-10.00000	514
497	1	0	0	0	0	1457084364	0.00000	414
552	0	2	1	0	0	1457084363	-4.00000	413
501	0	1	0	0	0	1457084363	-1.00000	473
574	1	0	0	1	0	1457084364	-4.00000	554
402	0	1	0	1	0	1457084364	-5.00000	419
457	1	0	1	0	0	1457084364	-3.00000	601
383	0	1	1	1	0	1457084364	-7.00000	534
385	0	0	1	1	0	1457084363	-6.00000	488
384	0	0	1	0	0	1457084364	-2.00000	467
438	0	0	1	1	0	1457084364	-6.00000	429
407	0	1	0	0	0	1457084364	None	553
561	1	0	3	1	0	1457084364	-10.00000	577
488	0	0	0	0	0	1457084364	None	555
548	0	0	0	0	0	1457084364	None	444
517	1	0	0	0	0	1457084364	0.00000	539
510	1	1	0	0	0	1457084364	-1.00000	569
404	0	0	1	0	0	1457084364	-2.00000	552
545	0	0	0	0	0	1457084363	0.00000	511
495	0	0	1	0	0	1457084363	-2.00000	389
443	1	0	0	0	0	1457084364	0.00000	483
469	0	0	0	0	0	1457084364	0.00000	453
463	1	0	0	0	0	1457084363	0.00000	391
475	0	1	0	0	0	1457084364	-1.00000	390
518	0	1	1	2	0	1457084364	-11.00000	557
464	0	0	1	3	0	1457084364	-14.00000	417
22	0	3	0	0	0	1457084363	-3.00000	572
421	15	1	3	0	0	1457084364	-7.00000	530
509	0	0	2	0	0	1457084363	-4.00000	462
465	0	0	0	0	0	1457084364	None	571
534	1	0	0	0	0	1457084364	0.00000	547
480	0	0	0	0	0	1457084364	0.00000	495
553	0	0	4	0	0	1457084364	-8.00000	528
453	0	0	1	1	0	1457084364	-6.00000	661
399	0	0	3	1	0	1457084364	-10.00000	412
542	1	1	2	1	0	1457084363	-9.00000	593
555	0	0	1	3	0	1457084363	-14.00000	535
436	0	0	5	0	0	1457084364	-10.00000	480
703	0	0	1	0	0	1457084364	-2.00000	402
494	0	0	0	1	0	1457084364	-4.00000	517
397	1	0	0	0	0	1457084364	0.00000	481
507	1	1	0	0	0	1457084364	-1.00000	422
526	0	0	1	1	0	1457084363	-6.00000	450
590	1	0	0	0	0	1457084364	0.00000	566
541	0	0	3	1	0	1457084364	-10.00000	393
16	0	0	3	2	0	1457084363	-14.00000	549
540	0	1	0	0	0	1457084364	-1.00000	432
425	2	2	0	0	0	1457084363	-4.00000	451
532	0	0	6	0	0	1457084364	-12.00000	708
462	0	0	4	0	0	1457084364	-8.00000	493
389	0	1	1	1	0	1457084364	-7.00000	435
520	0	2	0	0	0	1457084363	-2.00000	436
559	0	1	2	1	0	1457084364	-9.00000	551
522	0	0	2	1	0	1457084363	-8.00000	568
530	0	0	1	0	0	1457084363	-2.00000	466
527	1	0	1	0	0	1457084364	-2.00000	492
573	1	0	0	0	0	1457084363	0.00000	544
569	0	0	0	0	0	1457084364	0.00000	460
479	1	1	1	0	0	1457084363	-4.00000	503
508	0	0	0	0	0	1457084364	None	386
546	0	1	1	2	0	1457084363	-11.00000	591
380	0	0	0	0	0	1457084364	None	518
567	0	0	1	2	0	1457084364	-10.00000	562
581	1	0	0	0	0	1457084363	-1.00000	599
566	0	0	0	0	0	1457084364	0.00000	399
468	0	0	2	1	0	1457084364	-8.00000	505
579	1	0	0	0	0	1457084364	0.00000	463
528	0	2	0	1	0	1457084364	-6.00000	595
592	1	1	0	1	0	1457084363	-6.00000	448
