作者	Advice	Incomplete	Error	Crash	Doc	测试时间	分数	评测人
584	0	0	0	0	0	1465017565	None	417
488	1	0	0	0	0	1465017565	0.00000	452
517	0	8	5	0	0	1465017565	-18.00000	567
401	1	0	0	0	0	1465017565	0.00000	520
561	4	11	7	0	0	1465017565	-25.00000	493
546	0	0	0	0	0	1465017565	None	447
661	1	0	0	0	0	1465017565	0.00000	390
518	1	5	3	1	0	1465017565	-15.00000	433
587	0	0	0	0	0	1465017565	None	517
510	0	3	0	0	0	1465017565	-3.00000	538
602	1	0	0	0	0	1465017565	0.00000	562
536	1	1	2	4	0	1465017565	-21.00000	444
501	0	0	0	0	0	1465017565	None	22
497	0	0	0	0	0	1465017565	0.00000	436
506	0	0	0	0	0	1465017565	None	536
391	0	0	0	0	0	1465017565	None	549
515	0	0	0	0	0	1465017565	None	482
18	1	0	10	0	0	1465017565	-20.00000	428
599	1	0	0	0	0	1465017565	0.00000	571
482	0	0	0	0	0	1465017565	None	399
420	1	0	0	0	0	1465017565	0.00000	695
564	0	0	0	0	0	1465017565	None	389
529	1	0	0	0	0	1465017565	0.00000	494
547	0	4	1	0	0	1465017565	-6.00000	504
389	0	6	1	0	0	1465017565	-8.00000	258
491	0	0	0	0	0	1465017565	None	386
402	0	0	0	0	0	1465017565	None	499
496	1	0	0	0	0	1465017565	0.00000	425
475	1	0	0	0	0	1465017565	0.00000	421
456	0	0	0	0	0	1465017565	None	442
451	1	2	0	0	0	1465017565	-2.00000	554
424	1	0	0	0	0	1465017565	0.00000	409
606	0	0	1	0	0	1465017565	-2.00000	489
578	0	0	0	0	0	1465017565	None	535
390	1	0	0	0	0	1465017565	0.00000	522
399	0	0	0	0	0	1465017565	None	480
519	0	0	0	0	0	1465017565	None	560
585	0	2	1	0	0	1465017565	-4.00000	422
607	1	1	0	0	0	1465017565	-1.00000	526
526	2	1	2	0	0	1465017565	-5.00000	583
432	0	0	0	0	0	1465017565	None	566
462	1	0	0	0	0	1465017565	0.00000	406
406	0	0	0	0	0	1465017565	None	467
483	1	0	0	0	0	1465017565	0.00000	595
695	1	0	0	0	0	1465017565	0.00000	479
604	2	13	0	0	0	1465017565	-13.00000	483
418	1	1	1	1	0	1465017565	-7.00000	527
530	1	0	0	0	0	1465017565	0.00000	468
569	1	0	0	0	0	1465017565	0.00000	528
520	0	1	3	0	0	1465017565	-7.00000	593
428	2	0	0	0	0	1465017565	0.00000	586
400	1	0	0	0	0	1465017565	0.00000	561
532	0	0	0	0	0	1465017565	None	598
440	0	0	1	0	0	1465017565	-2.00000	531
423	1	0	0	1	0	1465017565	-4.00000	395
545	0	0	0	0	0	1465017565	None	584
603	1	0	0	0	0	1465017565	0.00000	462
586	1	0	0	0	0	1465017565	0.00000	67
597	1	0	0	0	0	1465017565	0.00000	475
575	1	0	0	0	0	1465017565	0.00000	529
576	1	3	0	0	0	1465017565	-3.00000	463
522	0	5	0	0	0	1465017565	-5.00000	564
528	0	2	0	0	0	1465017565	-2.00000	503
583	0	0	0	0	0	1465017565	None	394
380	0	0	0	0	0	1465017565	None	18
413	1	0	0	3	0	1465017565	-12.00000	523
598	0	0	2	1	0	1465017565	-8.00000	415
541	0	0	0	0	0	1465017565	None	472
492	1	0	0	0	0	1465017565	0.00000	577
542	0	0	4	0	0	1465017565	-8.00000	412
425	0	0	1	1	0	1465017565	-6.00000	559
387	2	4	1	0	0	1465017565	-6.00000	501
421	0	0	0	0	0	1465017565	None	509
527	0	1	1	0	0	1465017565	-3.00000	569
688	1	0	0	0	0	1465017565	0.00000	474
523	0	0	0	0	0	1465017565	None	601
549	0	0	0	0	0	1465017565	None	449
459	0	6	5	0	0	1465017565	-16.00000	487
590	0	0	0	0	0	1465017565	0.00000	391
435	2	0	1	1	0	1465017565	-6.00000	448
500	0	0	0	0	0	1465017565	None	469
489	1	0	0	0	0	1465017565	0.00000	579
514	0	0	0	0	0	1465017565	None	703
397	0	0	0	0	0	1465017565	None	420
493	0	0	0	0	0	1465017565	None	450
512	1	0	0	0	0	1465017565	0.00000	427
524	0	24	2	0	0	1465017565	-28.00000	497
509	0	0	0	0	0	1465017565	None	387
571	0	4	6	0	0	1465017565	-16.00000	498
588	0	0	1	0	0	1465017565	-2.00000	557
454	0	0	0	0	0	1465017565	None	414
466	2	3	0	0	0	1465017565	-3.00000	492
404	0	2	0	0	0	1465017565	-2.00000	500
563	1	0	2	4	0	1465017565	-20.00000	507
429	0	0	3	0	0	1465017565	-6.00000	591
430	1	0	0	0	0	1465017565	0.00000	512
479	0	4	0	0	0	1465017565	-4.00000	525
498	1	0	0	0	0	1465017565	0.00000	578
551	0	2	2	0	0	1465017565	-6.00000	510
419	1	0	0	0	0	1465017565	0.00000	588
449	1	0	0	0	0	1465017565	0.00000	708
504	0	0	0	0	0	1465017565	0.00000	530
438	3	1	3	0	0	1465017565	-7.00000	445
415	0	3	0	0	0	1465017565	-3.00000	607
460	3	0	3	1	0	1465017565	-10.00000	439
450	1	0	0	0	0	1465017565	0.00000	200
468	1	0	0	0	0	1465017565	0.00000	553
386	1	1	0	0	0	1465017565	-1.00000	424
434	0	0	0	0	0	1465017565	None	502
414	0	0	0	1	0	1465017565	-4.00000	392
567	1	0	0	0	0	1465017565	0.00000	451
568	0	1	0	0	0	1465017565	-1.00000	597
469	2	3	1	0	0	1465017565	-5.00000	533
507	1	0	0	0	0	1465017565	0.00000	432
458	0	2	2	0	0	1465017565	-6.00000	580
381	0	3	3	0	0	1465017565	-9.00000	419
533	1	0	0	0	0	1465017565	0.00000	568
554	0	2	0	0	0	1465017565	-2.00000	602
392	1	0	0	0	0	1465017565	0.00000	471
550	1	0	3	0	0	1465017565	-6.00000	454
457	1	0	0	0	0	1465017565	0.00000	383
577	1	0	0	0	0	1465017565	0.00000	408
379	1	1	0	0	0	1465017565	-1.00000	458
539	0	0	0	0	0	1465017565	None	466
