作者	Advice	Incomplete	Error	Crash	Doc	测试时间	分数	评测人
479	0	1	0	0	0	1465705069	-2.00000	599
496	1	0	0	0	0	1465705069	0.00000	463
578	0	0	0	0	0	1465705069	None	393
515	0	0	0	0	0	1465705069	None	545
518	0	0	0	3	0	1465705069	-12.00000	401
489	0	0	0	0	0	1465705069	None	388
474	1	0	0	0	0	1465705069	0.00000	487
520	0	0	0	0	0	1465705069	None	386
443	1	0	0	0	0	1465705069	0.00000	384
575	1	0	0	0	0	1465705069	0.00000	528
527	0	0	0	0	0	1465705069	None	579
495	1	0	0	0	0	1465705069	0.00000	258
379	1	0	0	0	0	1465705069	0.00000	606
497	1	0	0	0	0	1465705069	0.00000	419
484	0	0	0	0	0	1465705069	None	530
423	0	0	0	0	0	1465705069	None	499
507	0	0	0	0	0	1465705069	0.00000	529
599	0	0	0	0	0	1465705069	None	434
448	0	0	0	0	0	1465705069	None	548
602	1	0	0	0	0	1465705069	0.00000	575
546	0	0	0	0	0	1465705069	None	471
492	0	0	0	0	0	1465705069	None	380
531	0	0	0	0	0	1465705069	None	503
569	0	0	1	0	0	1465705069	-1.00000	495
391	0	0	0	0	0	1465705069	None	572
493	0	0	0	0	0	1465705069	None	423
688	0	0	0	0	0	1465705069	None	395
526	1	0	0	0	0	1465705069	0.00000	507
501	0	0	0	0	0	1465705069	None	407
406	1	0	0	0	0	1465705069	0.00000	474
568	2	0	0	0	0	1465705069	0.00000	426
500	1	0	0	0	0	1465705069	0.00000	424
510	1	0	0	0	0	1465705069	0.00000	456
401	0	0	0	0	0	1465705069	None	457
519	0	0	0	0	0	1465705069	None	379
697	1	1	1	0	0	1465705069	-3.00000	533
538	0	0	0	0	0	1465705069	None	467
383	0	0	0	0	0	1465705069	None	414
387	1	0	0	0	0	1465705069	0.00000	546
593	1	2	0	0	0	1465705069	-4.00000	520
414	1	0	0	0	0	1465705069	0.00000	408
498	0	0	0	0	0	1465705069	None	587
573	1	0	0	0	0	1465705069	0.00000	483
421	0	0	0	0	0	1465705069	None	560
468	0	0	0	0	0	1465705069	None	581
488	0	0	0	0	0	1465705069	None	557
570	1	0	9	0	0	1465705069	-9.00000	576
483	0	0	0	0	0	1465705069	None	465
583	1	0	0	0	0	1465705069	0.00000	496
585	1	0	0	0	0	1465705069	0.00000	464
587	0	0	0	0	0	1465705069	None	551
506	0	0	0	0	0	1465705069	None	432
478	1	0	0	0	0	1465705069	0.00000	429
435	1	0	0	0	0	1465705069	0.00000	602
395	0	0	0	0	0	1465705069	None	552
529	1	0	0	0	0	1465705069	0.00000	472
523	1	0	0	0	0	1465705069	0.00000	404
547	0	0	0	0	0	1465705069	None	509
424	1	0	0	0	0	1465705069	0.00000	568
392	1	0	0	0	0	1465705069	0.00000	504
566	0	0	0	0	0	1465705069	None	601
430	0	5	0	0	0	1465705069	-10.00000	697
491	0	0	0	0	0	1465705069	None	604
432	0	0	0	0	0	1465705069	None	387
606	0	0	0	0	0	1465705069	None	439
398	1	0	0	0	0	1465705069	0.00000	570
504	0	0	0	0	0	1465705069	None	583
393	1	0	0	0	0	1465705069	0.00000	418
404	0	0	1	0	0	1465705069	-1.00000	489
586	1	0	0	0	0	1465705069	0.00000	67
472	0	0	0	1	0	1465705069	-4.00000	392
434	0	0	0	0	0	1465705069	None	554
400	0	0	0	0	0	1465705069	None	501
390	1	0	0	0	0	1465705069	0.00000	561
525	0	0	0	0	0	1465705069	None	578
388	0	3	0	0	0	1465705069	-6.00000	454
577	1	0	0	0	0	1465705069	0.00000	440
429	0	0	0	0	0	1465705069	None	569
597	0	0	0	0	0	1465705069	None	470
603	0	0	0	0	0	1465705069	None	500
436	1	0	0	0	0	1465705069	0.00000	484
551	0	2	0	0	0	1465705069	-4.00000	523
418	0	0	0	0	0	1465705069	None	586
580	0	0	8	0	0	1465705069	-8.00000	542
380	0	1	0	0	0	1465705069	-2.00000	574
459	1	0	0	0	0	1465705069	0.00000	492
553	0	0	0	1	0	1465705069	-4.00000	506
582	0	0	0	0	0	1465705069	None	453
564	1	0	0	0	0	1465705069	0.00000	527
229	0	0	45	0	0	1465705069	-45.00000	573
695	1	0	0	0	0	1465705069	0.00000	522
576	0	0	0	0	0	1465705069	None	539
442	1	0	0	0	0	1465705069	0.00000	553
584	1	0	0	0	0	1465705069	0.00000	512
542	0	0	0	0	0	1465705069	None	399
457	1	0	0	0	0	1465705069	0.00000	516
567	1	3	0	1	0	1465705069	-10.00000	526
533	1	0	0	0	0	1465705069	0.00000	397
482	1	0	0	0	0	1465705069	0.00000	521
412	0	0	0	0	0	1465705069	None	661
528	0	0	0	0	0	1465705069	None	400
426	0	0	0	0	0	1465705069	None	494
431	1	0	0	0	0	1465705069	0.00000	406
559	1	0	0	0	0	1465705069	0.00000	577
487	0	0	0	0	0	1465705069	None	460
415	1	0	0	0	0	1465705069	0.00000	445
449	0	0	0	0	0	1465705069	None	438
590	0	0	0	0	0	1465705069	None	427
447	0	0	0	0	0	1465705069	None	510
378	0	0	0	0	0	1465705069	None	415
22	0	0	0	0	0	1465705069	None	398
581	0	0	0	0	0	1465705069	None	513
595	1	1	0	0	0	1465705069	-2.00000	571
601	1	0	0	0	0	1465705069	0.00000	531
530	0	0	0	0	0	1465705069	None	441
475	0	0	0	3	0	1465705069	-12.00000	443
532	1	0	0	0	0	1465705069	0.00000	502
386	0	0	0	0	0	1465705069	None	480
450	1	0	0	0	0	1465705069	0.00000	200
454	1	0	0	0	0	1465705069	0.00000	559
460	0	4	0	0	0	1465705069	-8.00000	535
466	0	0	0	0	0	1465705069	None	430
512	0	0	0	0	0	1465705069	None	466
438	1	0	0	0	0	1465705069	0.00000	519
656	0	1	3	0	0	1465705069	-5.00000	525
407	0	0	0	0	0	1465705069	None	421
588	0	0	0	0	0	1465705069	None	412
441	4	2	0	0	0	1465705069	-4.00000	515
402	1	0	0	0	0	1465705069	0.00000	428
548	1	0	0	0	0	1465705069	0.00000	595
397	0	0	0	0	0	1465705069	None	479
451	0	0	0	0	0	1465705069	None	422
554	0	0	0	0	0	1465705069	None	469
399	1	0	0	0	0	1465705069	0.00000	22
661	0	0	0	0	0	1465705069	None	458
539	1	0	0	0	0	1465705069	0.00000	497
499	0	0	0	0	0	1465705069	None	603
509	0	0	0	0	0	1465705069	None	566
604	0	0	0	1	0	1465705069	-4.00000	656
560	0	4	0	0	0	1465705069	-8.00000	541
420	0	0	0	0	0	1465705069	None	518
517	0	0	0	0	0	1465705069	None	549
480	1	0	0	0	0	1465705069	0.00000	588
471	0	0	0	0	0	1465705069	None	580
516	1	0	0	0	0	1465705069	0.00000	433
456	0	0	0	0	0	1465705069	None	229
469	0	0	0	1	0	1465705069	-4.00000	593
445	0	0	0	0	0	1465705069	None	582
494	1	3	0	2	0	1465705069	-14.00000	584
508	1	0	0	0	0	1465705069	0.00000	447
465	0	4	0	0	0	1465705069	-8.00000	493
513	0	0	0	0	0	1465705069	None	547
433	0	0	0	0	0	1465705069	None	585
439	0	3	0	3	0	1465705069	-18.00000	532
463	1	0	0	0	0	1465705069	0.00000	491
574	0	0	0	0	0	1465705069	None	391
453	1	0	0	0	0	1465705069	0.00000	478
552	0	0	0	0	0	1465705069	None	431
428	1	0	0	0	0	1465705069	0.00000	383
522	4	3	0	1	0	1465705069	-10.00000	409
557	1	0	0	0	0	1465705069	0.00000	475
384	1	0	0	0	0	1465705069	0.00000	436
549	1	0	0	0	0	1465705069	0.00000	459
425	1	0	0	0	0	1465705069	0.00000	170
467	0	0	0	0	0	1465705069	None	486
408	0	0	5	1	0	1465705069	-9.00000	482
550	0	0	0	0	0	1465705069	None	462
541	1	0	0	0	0	1465705069	0.00000	488
422	1	0	0	0	0	1465705069	0.00000	567
571	0	0	0	0	0	1465705069	None	448
462	0	0	0	0	0	1465705069	None	806
502	0	0	0	0	0	1465705069	None	688
486	1	0	0	0	0	1465705069	0.00000	378
579	0	0	0	0	0	1465705069	None	517
409	0	0	0	0	0	1465705069	None	449
200	1	16	0	0	0	1465705069	-32.00000	538
562	1	0	0	0	0	1465705069	0.00000	420
67	0	0	0	3	0	1465705069	-12.00000	390
545	1	0	0	0	0	1465705069	0.00000	425
464	0	0	0	0	0	1465705069	0.00000	550
806	0	2	0	2	0	1465705069	-12.00000	498
535	0	0	0	0	0	1465705069	None	450
258	0	3	0	0	0	1465705069	-6.00000	591
561	1	0	0	0	0	1465705069	0.00000	402
521	0	0	0	0	0	1465705069	None	451
440	1	0	0	0	0	1465705069	0.00000	695
572	1	0	0	0	0	1465705069	0.00000	468
170	0	0	0	0	0	1465705069	None	476
476	0	0	0	0	0	1465705069	None	508
458	0	3	0	0	0	1465705069	-6.00000	564
419	1	0	0	0	0	1465705069	0.00000	590
470	0	0	0	0	0	1465705069	None	442
427	0	0	0	0	0	1465705069	None	597
503	0	0	0	0	0	1465705069	None	562
444	0	0	0	0	0	1465735861	None	536
607	1	0	0	0	0	1465735861	0.00000	444
536	0	0	0	0	0	1465735861	None	417
417	0	0	0	0	0	1465735861	None	591
703	1	0	0	0	0	1465735861	0.00000	607
591	0	0	0	0	0	1465735861	None	703
