作者	Advice	Incomplete	Error	Crash	Doc	测试时间	分数	评测人
697	1	0	0	1	0	1457669417	-4.00000	588
656	0	1	1	1	0	1457669417	-7.00000	489
483	0	0	1	0	0	1457669417	-2.00000	595
496	1	0	0	0	0	1457669417	0.00000	530
401	0	1	1	0	0	1457669417	-3.00000	590
391	0	0	0	0	0	1457669416	0.00000	399
456	0	1	2	1	0	1457669416	-9.00000	421
497	1	0	0	0	0	1457669417	0.00000	434
491	0	0	0	1	0	1457669416	-4.00000	483
495	0	0	1	0	0	1457669417	-2.00000	380
601	0	1	1	0	0	1457669417	-3.00000	392
457	0	0	0	0	0	1457669417	None	431
489	0	0	2	0	0	1457669417	-4.00000	424
586	1	0	0	0	0	1457669416	0.00000	394
607	0	1	0	0	0	1457669417	-1.00000	505
708	0	0	0	0	0	1457669417	0.00000	455
573	1	0	0	0	0	1457669417	0.00000	413
455	1	0	2	2	0	1457669417	-12.00000	476
417	0	0	0	0	0	1457669417	None	576
561	0	0	2	0	0	1457669416	-4.00000	550
460	0	0	1	0	0	1457669417	-2.00000	468
474	1	0	0	0	0	1457669416	-1.00000	479
254	1	0	0	0	0	1457669416	0.00000	488
525	0	0	1	0	0	1457669417	-2.00000	461
531	0	0	2	1	0	1457669417	-8.00000	577
469	0	0	0	1	0	1457669417	-4.00000	470
461	1	0	2	0	0	1457669417	-4.00000	511
462	0	0	1	0	0	1457669417	-2.00000	583
532	0	0	1	1	0	1457669417	-6.00000	487
423	0	0	0	0	0	1457669416	0.00000	491
592	0	1	1	0	0	1457669417	-3.00000	551
418	0	1	1	0	0	1457669416	-3.00000	510
606	1	0	0	0	0	1457669417	0.00000	473
599	1	0	1	0	0	1457669417	-2.00000	538
587	0	0	1	0	0	1457669417	-2.00000	534
661	0	0	2	1	0	1457669416	-8.00000	500
501	1	0	0	0	0	1457669417	0.00000	408
484	0	0	0	0	0	1457669417	0.00000	522
519	1	0	0	0	0	1457669417	0.00000	416
602	8	0	0	0	0	1457669417	0.00000	526
538	0	0	1	0	0	1457669417	-2.00000	573
467	0	0	0	0	0	1457669417	None	708
447	0	0	0	0	0	1457669417	None	703
400	0	1	0	0	0	1457669417	-1.00000	525
556	0	0	2	0	0	1457669417	-4.00000	407
421	2	0	3	0	0	1457669417	-6.00000	439
429	1	0	0	0	0	1457669417	0.00000	480
420	0	0	0	0	0	1457669417	0.00000	385
551	1	0	3	0	0	1457669417	-7.00000	597
414	1	0	0	0	0	1457669417	0.00000	661
500	0	0	0	0	0	1457669417	None	453
449	0	1	0	0	0	1457669417	-1.00000	428
488	0	0	0	0	0	1457669417	0.00000	402
517	0	0	0	0	0	1457669417	None	523
448	0	0	0	0	0	1457669417	0.00000	388
582	0	1	1	0	0	1457669417	-3.00000	383
553	0	0	0	1	0	1457669417	-4.00000	391
466	0	0	0	1	0	1457669416	-4.00000	450
590	0	0	0	0	0	1457669417	None	254
468	0	1	3	0	0	1457669416	-7.00000	400
390	1	2	0	0	0	1457669416	-2.00000	436
703	1	1	0	0	0	1457669417	-2.00000	386
434	0	1	0	0	0	1457669417	-1.00000	433
571	1	0	3	0	0	1457669416	-7.00000	607
583	0	0	0	0	0	1457669417	None	567
378	1	0	1	0	0	1457669417	-2.00000	452
597	0	0	1	0	0	1457669416	-2.00000	514
384	0	1	1	0	0	1457669417	-3.00000	395
380	0	0	0	0	0	1457669417	None	548
440	0	0	1	0	0	1457669417	-2.00000	546
688	1	0	0	0	0	1457669417	0.00000	481
397	0	1	0	0	0	1457669417	-1.00000	507
520	1	0	1	0	0	1457669417	-3.00000	16
459	0	0	0	1	0	1457669417	-4.00000	556
395	0	1	0	0	0	1457669417	-1.00000	587
547	0	0	1	0	0	1457669416	-2.00000	564
575	1	0	0	0	0	1457669416	0.00000	602
584	1	0	0	0	0	1457669417	0.00000	544
578	1	0	0	0	0	1457669416	0.00000	501
513	2	0	0	0	0	1457669416	0.00000	540
512	0	0	0	0	0	1457669417	None	458
379	1	0	0	0	0	1457669417	0.00000	420
393	0	0	0	0	0	1457669417	None	387
545	0	0	1	0	0	1457669416	-2.00000	418
413	0	1	0	0	0	1457669417	-1.00000	445
479	0	1	1	0	0	1457669417	-3.00000	474
388	0	1	0	2	0	1457669417	-9.00000	521
387	1	0	3	0	0	1457669416	-7.00000	580
516	1	0	0	0	0	1457669417	0.00000	471
565	1	0	0	0	0	1457669417	0.00000	559
534	0	0	3	2	0	1457669417	-14.00000	575
507	0	0	2	0	0	1457669417	-4.00000	378
432	0	1	0	2	0	1457669417	-9.00000	492
576	0	0	0	0	0	1457669417	0.00000	529
412	1	1	0	1	0	1457669417	-6.00000	497
493	0	0	1	0	0	1457669417	-2.00000	542
494	0	3	0	0	0	1457669416	-3.00000	545
