作者	Advice	Incomplete	Error	Crash	Doc	测试时间	分数	评测人
697	0	0	0	1	0	1458296460	-4.00000	584
489	1	0	0	0	0	1458296460	0.00000	254
491	1	0	0	0	0	1458296460	0.00000	544
661	2	1	3	0	0	1458296460	-9.00000	399
656	0	0	11	4	0	1458296460	-38.00000	602
606	0	0	0	0	0	1458296460	None	26
598	0	1	9	1	0	1458296460	-23.00000	593
501	1	0	0	0	0	1458296460	0.00000	558
496	0	0	0	0	0	1458296460	0.00000	571
586	3	0	0	0	0	1458296460	-3.00000	465
582	0	0	4	0	0	1458296460	-8.00000	400
517	1	0	2	0	0	1458296460	-5.00000	22
525	0	0	0	0	0	1458296460	0.00000	381
531	1	0	0	0	0	1458296460	0.00000	408
519	1	0	2	0	0	1458296460	-4.00000	387
538	0	0	0	0	0	1458296460	None	473
400	0	0	1	0	0	1458296460	-2.00000	504
390	0	0	2	0	0	1458296460	-4.00000	495
507	0	1	1	0	0	1458296460	-3.00000	471
534	0	0	4	0	0	1458296460	-8.00000	462
599	0	0	3	0	0	1458296460	-6.00000	467
499	1	0	0	0	0	1458296460	-1.00000	419
574	1	0	3	1	0	1458296460	-10.00000	404
466	1	0	2	0	0	1458296460	-5.00000	420
429	0	1	2	2	0	1458296460	-13.00000	391
806	0	5	12	0	0	1458296460	-29.00000	379
435	1	0	2	0	0	1458296460	-4.00000	604
562	1	1	1	0	0	1458296460	-4.00000	407
520	0	0	6	0	0	1458296460	-12.00000	478
462	0	0	0	0	0	1458296460	None	390
587	0	0	0	0	0	1458296460	0.00000	497
498	2	1	0	0	0	1458296460	-1.00000	435
457	1	0	0	1	0	1458296460	-4.00000	505
401	1	0	0	0	0	1458296460	0.00000	486
583	0	0	0	0	0	1458296460	None	562
450	0	0	0	0	0	1458296460	None	536
604	1	1	2	0	0	1458296460	-5.00000	535
476	0	0	0	0	0	1458296460	0.00000	578
460	0	0	4	0	0	1458296460	-8.00000	414
451	0	0	1	0	0	1458296460	-2.00000	433
603	0	2	0	0	0	1458296460	-2.00000	533
584	0	0	2	0	0	1458296460	-4.00000	491
554	1	2	0	0	0	1458296460	-2.00000	511
529	0	0	1	0	0	1458296460	-2.00000	688
551	0	1	1	0	0	1458296460	-3.00000	474
523	0	1	0	0	0	1458296460	-1.00000	595
601	2	3	0	0	0	1458296460	-5.00000	428
495	1	0	4	0	0	1458296460	-8.00000	500
418	1	1	0	0	0	1458296460	-1.00000	448
399	0	0	5	0	0	1458296460	-10.00000	412
461	1	0	3	0	0	1458296460	-6.00000	525
395	0	0	2	1	0	1458296460	-8.00000	547
577	0	2	0	0	0	1458296460	-2.00000	568
561	0	0	2	0	0	1458296460	-4.00000	555
545	0	0	1	0	0	1458296460	-2.00000	398
479	0	0	0	0	0	1458296460	None	524
472	1	0	3	0	0	1458296460	-7.00000	550
380	1	0	1	0	0	1458296460	-2.00000	458
522	0	1	3	0	0	1458296460	-7.00000	564
513	1	0	0	0	0	1458296460	-1.00000	383
465	0	0	0	0	0	1458296460	None	530
387	1	2	1	1	0	1458296460	-8.00000	519
708	0	1	5	0	0	1458296460	-11.00000	579
393	0	0	3	1	0	1458296460	-10.00000	392
26	1	0	0	0	0	1458296460	0.00000	565
254	1	2	4	2	0	1458296460	-18.00000	476
443	0	0	0	0	0	1458296460	0.00000	597
453	1	1	1	0	0	1458296460	-3.00000	577
406	1	2	7	0	0	1458296460	-16.00000	427
20	2	0	7	12	0	1458296460	-64.00000	496
459	0	0	1	0	0	1458296460	-2.00000	429
432	1	2	0	0	0	1458296460	-2.00000	492
526	0	1	1	0	0	1458296460	-3.00000	528
444	0	0	0	0	0	1458296460	None	563
398	1	2	0	0	0	1458296460	-2.00000	494
447	0	1	0	1	0	1458296460	-5.00000	459
421	0	0	0	0	0	1458296460	None	560
500	0	0	1	0	0	1458296460	-2.00000	561
494	1	7	2	0	0	1458296460	-11.00000	539
18	2	0	4	1	0	1458296460	-12.00000	580
590	0	0	0	0	0	1458296460	0.00000	384
510	0	0	1	0	0	1458296460	-2.00000	386
386	0	1	2	2	0	1458296460	-13.00000	439
552	1	1	1	1	0	1458296460	-8.00000	527
412	0	1	1	0	0	1458296460	-3.00000	430
518	0	1	0	0	0	1458296460	-1.00000	431
481	3	0	0	2	0	1458296460	-11.00000	591
588	0	0	0	1	0	1458296460	-4.00000	532
570	1	0	1	0	0	1458296460	-3.00000	599
564	0	1	0	0	0	1458296460	-1.00000	436
541	1	0	0	0	0	1458296460	0.00000	452
592	2	1	1	1	0	1458296460	-7.00000	401
385	1	0	3	0	0	1458296460	-7.00000	402
438	0	0	4	0	0	1458296460	-8.00000	440
482	0	0	0	1	0	1458296460	-4.00000	523
567	0	0	1	0	0	1458296460	-2.00000	545
566	1	0	1	0	0	1458296460	-2.00000	542
384	1	3	0	0	0	1458296460	-4.00000	548
454	1	0	3	1	0	1458296460	-10.00000	489
424	0	1	0	0	0	1458296460	-1.00000	441
571	0	0	0	0	0	1458296460	0.00000	598
703	0	0	0	0	0	1458296460	None	517
559	1	0	6	0	0	1458296460	-13.00000	447
448	0	0	0	0	0	1458296460	0.00000	385
458	0	0	2	0	0	1458296460	-4.00000	451
467	0	1	0	0	0	1458296460	-1.00000	502
480	0	0	3	0	0	1458296460	-6.00000	574
553	1	0	5	0	0	1458296460	-10.00000	509
427	1	0	0	0	0	1458296460	0.00000	481
430	1	0	0	0	0	1458296460	-1.00000	416
409	1	0	1	0	0	1458296460	-2.00000	515
422	0	1	2	0	0	1458296460	-5.00000	434
524	0	0	0	0	0	1458296460	None	573
581	0	1	2	0	0	1458296460	-5.00000	456
392	0	0	3	0	0	1458296460	-6.00000	549
449	0	0	1	0	0	1458296460	-2.00000	460
469	5	0	2	2	0	1458296460	-12.00000	493
405	0	2	5	2	0	1458296460	-20.00000	499
468	2	0	1	0	0	1458296460	-4.00000	501
436	0	0	0	0	0	1458296460	None	378
511	1	2	2	0	0	1458296460	-6.00000	488
404	0	0	0	0	0	1458296460	None	20
478	0	0	2	0	0	1458296460	-4.00000	529
514	0	1	3	0	0	1458296460	-7.00000	394
602	0	1	0	0	0	1458296460	-1.00000	559
413	0	0	2	3	0	1458296460	-16.00000	507
420	0	1	0	0	0	1458296460	-1.00000	418
560	1	2	4	0	0	1458296460	-11.00000	449
456	1	0	3	0	0	1458296460	-6.00000	510
463	1	0	0	0	0	1458296460	0.00000	806
512	0	5	0	0	0	1458296460	-5.00000	514
555	0	1	1	0	0	1458296460	-3.00000	472
492	1	1	3	0	0	1458296460	-7.00000	388
506	0	0	0	0	0	1458296460	None	508
474	1	2	7	1	0	1458296460	-20.00000	569
484	0	0	2	0	0	1458296460	-4.00000	423
397	0	0	1	0	0	1458296460	-2.00000	521
414	0	0	0	0	0	1458296460	None	445
439	0	1	3	0	0	1458296460	-7.00000	432
483	1	0	0	0	0	1458296460	0.00000	575
431	1	1	1	0	0	1458296460	-3.00000	588
502	1	0	2	0	0	1458296460	-4.00000	498
688	1	0	0	0	0	1458296460	0.00000	552
539	0	0	0	0	0	1458296460	0.00000	553
536	0	0	3	1	0	1458296460	-10.00000	566
568	1	0	0	0	0	1458296460	-1.00000	425
493	0	0	2	0	0	1458296460	-4.00000	513
389	2	7	3	0	0	1458296460	-15.00000	570
532	0	1	0	0	0	1458296460	-1.00000	442
408	0	1	2	0	0	1458296460	-5.00000	554
530	1	0	1	0	0	1458296460	-3.00000	389
527	0	1	0	0	0	1458296460	-1.00000	453
497	0	1	1	0	0	1458296460	-3.00000	538
558	1	0	1	8	0	1458296460	-34.00000	581
544	0	1	2	0	0	1458296460	-5.00000	461
417	0	0	1	0	0	1458296460	-2.00000	506
549	2	4	2	0	0	1458296460	-9.00000	541
509	1	2	5	0	0	1458296460	-12.00000	421
597	0	2	2	0	0	1458296460	-6.00000	395
445	0	1	1	1	0	1458296460	-7.00000	482
441	0	0	0	1	0	1458296460	-4.00000	567
488	0	0	3	0	0	1458296460	-6.00000	708
572	0	0	2	0	0	1458296460	-4.00000	454
521	1	0	1	0	0	1458296460	-2.00000	576
433	0	0	2	0	0	1458296460	-4.00000	415
547	0	2	0	0	0	1458296460	-2.00000	380
546	0	0	2	0	0	1458296460	-4.00000	469
533	1	2	5	0	0	1458296460	-12.00000	586
381	1	0	0	0	0	1458296460	0.00000	397
508	0	0	1	0	0	1458296460	-2.00000	572
605	3	1	7	0	0	1458296460	-15.00000	583
515	0	0	3	0	0	1458296460	-6.00000	470
464	0	0	8	0	0	1458296460	-16.00000	606
550	0	0	0	0	0	1458296460	None	592
415	0	0	0	0	0	1458296460	None	703
556	2	1	1	0	0	1458296460	-6.00000	438
16	2	1	2	0	0	1458296460	-7.00000	512
542	1	2	0	0	0	1458296460	-3.00000	520
591	1	1	1	0	0	1458296460	-4.00000	551
535	0	4	4	1	0	1458296460	-16.00000	443
425	1	0	4	0	0	1458296460	-10.00000	468
442	1	2	0	0	0	1458296460	-2.00000	426
607	1	0	0	0	0	1458296460	0.00000	522
576	1	0	0	0	0	1458296460	0.00000	466
573	0	5	1	0	0	1458296460	-7.00000	484
394	0	0	7	0	0	1458296460	-14.00000	557
580	0	0	0	0	0	1458296460	0.00000	464
578	0	0	0	0	0	1458296460	None	405
557	1	1	2	0	0	1458296460	-6.00000	582
695	0	1	3	0	0	1458296460	-7.00000	697
402	0	0	5	0	0	1458296460	-10.00000	487
585	0	2	1	0	0	1458296460	-4.00000	534
575	1	0	0	0	0	1458296460	0.00000	540
565	0	3	3	0	0	1458296460	-9.00000	406
379	0	0	0	0	0	1458296460	None	605
22	1	3	8	0	0	1458296460	-20.00000	409
595	2	1	0	0	0	1458296460	-1.00000	424
569	1	0	3	0	0	1458296460	-6.00000	457
548	1	1	0	0	0	1458296460	-2.00000	479
470	0	0	1	0	0	1458296460	-2.00000	585
563	0	1	1	5	0	1458296460	-23.00000	413
416	0	0	2	0	0	1458296460	-4.00000	480
383	1	0	3	0	0	1458296460	-6.00000	587
407	1	1	2	0	0	1458296460	-6.00000	656
528	1	0	0	0	0	1458296460	0.00000	16
419	1	1	1	1	0	1458296460	-7.00000	463
