作者	Advice	Incomplete	Error	Crash	Doc	测试时间	分数	评测人
483	1	0	0	0	0	1460034588	0.00000	461
400	0	1	0	0	0	1460034589	-1.00000	441
467	1	0	1	1	0	1460034589	-6.00000	387
491	3	0	3	0	0	1460034589	-6.00000	515
496	1	0	2	0	0	1460034588	-4.00000	420
599	0	0	0	0	0	1460034589	None	465
18	1	0	0	0	0	1460034589	0.00000	593
582	1	0	0	0	0	1460034589	0.00000	566
458	1	0	0	0	0	1460034589	0.00000	464
806	0	1	0	1	0	1460034589	-5.00000	466
586	2	0	1	0	0	1460034589	-2.00000	575
438	0	0	1	0	0	1460034589	-2.00000	408
421	1	0	2	1	0	1460034588	-8.00000	597
501	1	1	1	0	0	1460034589	-3.00000	498
459	0	1	0	0	0	1460034589	-1.00000	553
574	0	0	0	0	0	1460034589	0.00000	506
26	1	2	1	0	0	1460034589	-4.00000	258
20	1	0	15	0	0	1460034589	-30.00000	595
401	1	0	1	0	0	1460034588	-2.00000	415
498	0	0	0	0	0	1460034589	None	543
22	1	0	1	5	0	1460034589	-22.00000	438
452	0	0	0	0	0	1460034588	None	18
418	1	0	2	0	0	1460034589	-4.00000	509
258	0	1	3	1	0	1460034589	-11.00000	570
435	1	0	0	0	0	1460034589	0.00000	170
447	0	0	0	0	0	1460034589	None	557
456	0	0	2	0	0	1460034588	-4.00000	584
568	0	1	3	0	0	1460034589	-7.00000	395
588	0	0	0	0	0	1460034589	None	806
607	0	1	1	0	0	1460034589	-3.00000	499
450	0	0	0	0	0	1460034589	None	604
390	0	0	2	0	0	1460034589	-4.00000	417
518	0	0	2	0	0	1460034589	-4.00000	407
489	0	0	0	0	0	1460034589	None	511
520	0	0	0	0	0	1460034589	None	541
529	1	0	0	0	0	1460034589	0.00000	550
703	0	1	3	0	0	1460034588	-7.00000	585
583	0	0	1	0	0	1460034588	-2.00000	497
474	1	0	2	1	0	1460034589	-8.00000	449
697	0	0	1	0	0	1460034589	-2.00000	703
500	1	0	1	1	0	1460034589	-6.00000	592
541	0	0	7	1	0	1460034589	-18.00000	383
441	0	0	1	0	0	1460034589	-2.00000	535
526	0	0	0	0	0	1460034588	0.00000	454
412	0	0	0	1	0	1460034589	-4.00000	513
457	0	1	1	0	0	1460034589	-3.00000	463
688	0	0	2	0	0	1460034589	-4.00000	482
530	0	0	0	0	0	1460034589	None	16
424	0	0	0	1	0	1460034589	-4.00000	451
536	1	0	0	0	0	1460034589	0.00000	559
429	1	0	0	0	0	1460034589	0.00000	200
449	0	0	0	1	0	1460034589	-4.00000	472
383	0	0	3	0	0	1460034589	-6.00000	470
584	0	0	0	0	0	1460034588	None	708
603	1	0	0	0	0	1460034589	0.00000	577
495	0	0	0	0	0	1460034589	None	574
510	1	0	0	0	0	1460034588	0.00000	563
590	0	1	1	0	0	1460034589	-3.00000	603
502	0	0	1	0	0	1460034589	-2.00000	414
523	1	0	1	0	0	1460034589	-2.00000	695
561	0	0	6	0	0	1460034589	-12.00000	529
386	0	0	4	1	0	1460034589	-12.00000	602
532	1	0	4	0	0	1460034589	-8.00000	409
507	0	0	0	0	0	1460034589	None	479
556	1	1	7	0	0	1460034589	-15.00000	583
509	0	0	0	1	0	1460034589	-4.00000	384
379	0	0	0	0	0	1460034589	None	494
512	0	0	0	1	0	1460034589	-4.00000	565
547	1	0	4	0	0	1460034589	-8.00000	523
482	0	0	1	0	0	1460034589	-2.00000	418
559	1	1	4	1	0	1460034589	-13.00000	440
563	1	1	8	2	0	1460034589	-25.00000	542
564	1	0	0	1	0	1460034589	-4.00000	391
534	0	0	2	1	0	1460034589	-8.00000	530
448	0	0	3	0	0	1460034588	-6.00000	453
656	0	4	13	0	0	1460034589	-30.00000	379
460	1	1	4	0	0	1460034589	-9.00000	489
398	0	0	0	0	0	1460034589	None	67
402	0	0	2	0	0	1460034589	-4.00000	504
488	0	0	0	0	0	1460034588	None	455
517	1	0	11	0	0	1460034589	-22.00000	591
499	0	0	0	0	0	1460034589	None	460
539	1	0	2	0	0	1460034589	-4.00000	573
464	0	0	2	1	0	1460034589	-8.00000	386
553	0	0	7	3	0	1460034589	-26.00000	532
391	1	0	0	0	0	1460034589	0.00000	516
552	0	0	7	0	0	1460034589	-14.00000	567
451	0	0	0	0	0	1460034589	None	536
417	0	0	0	0	0	1460034589	0.00000	572
414	1	0	5	0	0	1460034589	-10.00000	586
16	1	0	0	0	0	1460034588	0.00000	480
420	0	0	0	0	0	1460034589	0.00000	560
472	0	0	0	1	0	1460034589	-4.00000	518
571	1	0	4	0	0	1460034589	-8.00000	458
494	1	0	0	0	0	1460034589	0.00000	606
454	0	0	0	0	0	1460034589	None	429
425	0	0	0	0	0	1460034588	None	26
516	0	0	0	0	0	1460034589	None	605
604	0	0	0	0	0	1460034589	None	561
497	3	0	1	0	0	1460034589	-2.00000	435
506	0	0	0	0	0	1460034589	None	555
576	0	1	1	0	0	1460034589	-3.00000	493
384	0	0	0	0	0	1460034589	0.00000	397
602	1	1	5	0	0	1460034589	-11.00000	569
514	1	0	0	5	0	1460034589	-20.00000	432
422	0	2	0	0	0	1460034589	-2.00000	431
595	1	0	0	0	0	1460034589	0.00000	582
567	0	0	2	0	0	1460034589	-4.00000	430
465	1	1	2	0	0	1460034589	-5.00000	457
587	0	0	0	0	0	1460034589	None	399
387	0	0	0	0	0	1460034589	None	20
533	0	0	3	0	0	1460034589	-6.00000	484
468	0	0	0	1	0	1460034589	-4.00000	474
481	1	0	2	5	0	1460034589	-24.00000	545
443	1	1	1	0	0	1460034589	-3.00000	552
555	0	0	7	0	0	1460034589	-14.00000	531
566	1	0	4	0	0	1460034589	-8.00000	526
392	0	1	0	0	0	1460034589	-1.00000	390
593	0	1	2	0	0	1460034589	-5.00000	500
430	1	0	2	0	0	1460034589	-4.00000	378
545	0	1	0	0	0	1460034588	-1.00000	522
606	3	1	2	0	0	1460034588	-5.00000	398
513	0	0	0	1	0	1460034589	-4.00000	588
570	0	1	1	0	0	1460034589	-3.00000	433
455	1	0	1	4	0	1460034588	-18.00000	388
423	0	0	1	0	0	1460034589	-2.00000	486
569	0	1	0	0	0	1460034589	-1.00000	578
546	2	1	3	0	0	1460034588	-7.00000	439
592	1	3	3	0	0	1460034588	-9.00000	434
515	1	3	1	0	0	1460034588	-5.00000	468
434	0	0	3	0	0	1460034589	-6.00000	547
573	1	0	0	0	0	1460034589	0.00000	544
577	1	0	0	0	0	1460034589	0.00000	385
378	1	1	0	0	0	1460034588	-1.00000	492
511	1	0	9	0	0	1460034589	-18.00000	510
461	0	1	3	0	0	1460034589	-7.00000	448
598	1	0	4	0	0	1460034589	-8.00000	462
395	0	0	1	0	0	1460034589	-2.00000	469
466	1	2	0	1	0	1460034588	-6.00000	419
579	0	0	0	0	0	1460034589	None	402
478	0	0	2	0	0	1460034589	-4.00000	456
542	0	0	2	0	0	1460034589	-4.00000	514
565	1	0	0	0	0	1460034589	0.00000	459
200	0	0	6	0	0	1460034589	-12.00000	524
476	1	0	5	0	0	1460034589	-10.00000	519
380	0	0	2	0	0	1460034588	-4.00000	525
471	0	1	0	0	0	1460034589	-1.00000	413
535	1	0	0	0	0	1460034589	0.00000	579
601	1	2	3	0	0	1460034589	-8.00000	533
585	0	3	7	0	0	1460034588	-17.00000	688
551	0	3	2	0	0	1460034589	-7.00000	425
708	2	1	2	0	0	1460034589	-5.00000	538
661	0	0	0	0	0	1460034589	None	444
605	0	1	4	0	0	1460034589	-9.00000	576
428	0	0	0	0	0	1460034589	0.00000	502
469	0	1	4	0	0	1460034589	-9.00000	447
578	0	0	1	0	0	1460034589	-2.00000	488
581	1	0	0	1	0	1460034589	-4.00000	521
67	0	0	0	5	0	1460034589	-20.00000	587
493	0	0	0	0	0	1460034589	0.00000	406
550	0	1	3	0	0	1460034589	-7.00000	450
525	0	0	1	0	0	1460034589	-2.00000	580
453	0	0	1	0	0	1460034589	-2.00000	481
397	0	0	0	0	0	1460034589	0.00000	508
486	0	2	3	0	0	1460034589	-8.00000	601
549	1	0	0	6	0	1460034588	-24.00000	443
409	0	0	0	0	0	1460034589	None	568
591	0	1	0	0	0	1460034589	-1.00000	507
531	0	0	0	0	0	1460034588	0.00000	475
519	0	0	2	2	0	1460034589	-12.00000	534
524	1	0	9	2	0	1460034589	-26.00000	421
487	1	0	0	0	0	1460034589	0.00000	599
480	0	0	4	0	0	1460034589	-8.00000	546
407	0	1	0	0	0	1460034589	-1.00000	539
522	0	0	1	0	0	1460034589	-2.00000	571
442	1	0	0	0	0	1460034589	0.00000	512
432	0	0	0	0	0	1460034589	None	503
427	2	0	3	0	0	1460034589	-6.00000	501
393	0	0	0	0	0	1460034589	None	22
528	0	0	1	1	0	1460034589	-6.00000	598
508	0	0	0	0	0	1460034588	None	229
557	1	0	6	3	0	1460034589	-24.00000	590
431	0	0	0	0	0	1460034588	None	549
538	1	2	5	1	0	1460034589	-16.00000	656
229	0	0	10	0	0	1460034589	-20.00000	496
492	0	0	3	0	0	1460034588	-6.00000	393
479	1	3	0	0	0	1460034589	-3.00000	554
408	0	2	1	1	0	1460034589	-8.00000	607
505	0	0	0	1	0	1460034589	-4.00000	528
597	4	0	3	0	0	1460034589	-6.00000	581
404	1	0	1	0	0	1460034589	-2.00000	452
388	1	0	0	1	0	1460034589	-4.00000	548
406	1	0	3	1	0	1460034589	-10.00000	424
440	1	0	0	0	0	1460034589	0.00000	562
560	0	1	10	0	0	1460034588	-21.00000	445
444	0	0	0	0	0	1460034589	None	473
527	1	1	2	1	0	1460034589	-9.00000	400
580	0	0	1	0	0	1460034589	-2.00000	661
413	1	0	1	0	0	1460034588	-2.00000	422
562	0	0	3	1	0	1460034589	-10.00000	491
385	0	0	2	1	0	1460034589	-8.00000	487
470	0	0	0	0	0	1460034589	None	467
572	1	0	0	0	0	1460034589	0.00000	428
436	0	0	1	1	0	1460034589	-6.00000	517
419	1	0	0	0	0	1460034588	0.00000	423
544	2	4	8	0	0	1460034588	-20.00000	564
399	0	0	5	1	0	1460034589	-14.00000	697
475	0	2	3	2	0	1460034589	-16.00000	392
439	0	0	3	2	0	1460034589	-14.00000	404
462	0	1	2	1	0	1460034589	-9.00000	527
504	0	0	0	1	0	1460034589	-4.00000	505
170	0	2	1	0	0	1460034589	-4.00000	436
554	0	0	5	1	0	1460034589	-14.00000	495
433	2	0	7	0	0	1460034589	-14.00000	478
548	1	0	2	0	0	1460034589	-4.00000	442
484	0	0	0	0	0	1460034589	0.00000	556
473	0	0	7	0	0	1460034589	-14.00000	427
521	1	0	0	0	0	1460034589	0.00000	412
503	1	0	2	1	0	1460034588	-8.00000	471
575	0	0	0	0	0	1460034589	None	380
543	0	0	0	2	0	1460034588	-8.00000	483
463	1	0	2	0	0	1460034589	-4.00000	401
695	1	0	3	1	0	1460034589	-10.00000	476
445	1	1	1	0	0	1460034588	-3.00000	520
415	0	0	0	0	0	1460034589	None	551
