作者	Advice	Incomplete	Error	Crash	Doc	测试时间	分数	评测人
400	1	0	1	0	0	1460828086	-2.00000	547
518	1	0	0	0	0	1460828152	0.00000	501
491	1	0	2	0	0	1460828156	-4.00000	498
602	2	0	4	0	0	1460828157	-8.00000	491
496	8	0	2	1	0	1460828084	-8.00000	404
438	7	4	2	1	0	1460828099	-12.00000	444
531	0	1	2	0	0	1460828075	-5.00000	517
483	3	1	2	0	0	1460828100	-5.00000	463
566	0	0	0	0	0	1460828060	None	16
582	0	0	0	0	0	1460828076	None	605
421	0	0	1	0	0	1460828210	-2.00000	407
520	1	0	3	1	0	1460828158	-10.00000	412
530	1	0	4	1	0	1460828098	-12.00000	597
430	0	0	1	0	0	1460828148	-2.00000	441
489	2	0	2	0	0	1460828072	-4.00000	570
424	0	0	3	0	0	1460828099	-6.00000	591
661	1	0	1	1	0	1460828145	-6.00000	442
586	1	0	1	0	0	1460828097	-2.00000	526
606	1	0	0	0	0	1460828073	0.00000	390
607	1	0	2	0	0	1460828190	-4.00000	561
538	1	0	3	0	0	1460828159	-6.00000	448
532	1	0	0	0	0	1460828156	0.00000	384
420	0	0	0	0	0	1460828072	0.00000	572
417	1	1	0	0	0	1460828073	-1.00000	571
567	0	0	4	0	0	1460828157	-8.00000	552
510	1	0	1	0	0	1460828200	-2.00000	427
472	0	0	0	2	0	1460828198	-8.00000	432
391	1	0	4	0	0	1460828081	-8.00000	496
534	8	3	6	0	0	1460828096	-15.00000	391
474	3	0	12	0	0	1460828142	-24.00000	580
457	0	0	0	0	0	1460828098	None	438
571	0	0	7	0	0	1460828076	-14.00000	587
526	0	0	4	0	0	1460828203	-8.00000	470
519	10	2	4	0	0	1460828194	-10.00000	573
703	0	0	5	0	0	1460828099	-10.00000	482
492	1	0	0	0	0	1460828201	0.00000	559
590	0	0	0	0	0	1460828058	None	452
525	0	0	1	0	0	1460828198	-2.00000	530
482	3	0	0	0	0	1460828101	0.00000	590
456	2	0	0	0	0	1460828196	0.00000	541
467	0	0	4	0	0	1460828146	-8.00000	519
384	1	3	12	1	0	1460828073	-31.00000	557
500	0	0	4	0	0	1460828080	-8.00000	509
524	1	0	1	0	0	1460828098	-2.00000	553
462	1	0	2	0	0	1460828078	-4.00000	533
450	0	0	0	0	0	1460828160	0.00000	506
451	0	0	3	0	0	1460828137	-6.00000	450
452	0	1	6	0	0	1460828160	-13.00000	379
459	1	0	1	0	0	1460828067	-2.00000	440
550	2	2	8	0	0	1460828189	-18.00000	456
441	0	0	1	1	0	1460828096	-6.00000	380
494	0	0	8	0	0	1460828061	-16.00000	588
556	1	1	1	1	0	1460828074	-7.00000	460
479	0	0	3	0	0	1460828096	-6.00000	457
380	0	0	0	1	0	1460828096	-4.00000	414
453	4	0	7	0	0	1460828071	-14.00000	564
468	0	0	5	0	0	1460828080	-10.00000	562
587	1	1	2	1	0	1460828080	-9.00000	469
563	4	0	1	7	0	1460828213	-30.00000	532
385	0	0	3	5	0	1460828133	-26.00000	484
551	0	0	3	3	0	1460828200	-18.00000	385
390	0	0	0	0	0	1460828205	0.00000	575
432	0	0	0	0	0	1460828096	None	536
585	0	0	0	0	0	1460828059	None	566
555	0	0	10	0	0	1460828080	-20.00000	500
553	0	0	3	0	0	1460828147	-6.00000	486
559	0	0	2	0	0	1460828110	-4.00000	560
466	0	0	5	2	0	1460828194	-18.00000	567
558	4	0	9	0	0	1460828079	-18.00000	695
425	0	0	6	2	0	1460828097	-20.00000	487
506	0	0	4	0	0	1460828198	-8.00000	386
599	1	2	7	0	0	1460828101	-16.00000	539
471	0	0	3	2	0	1460828154	-14.00000	603
499	0	0	0	0	0	1460827928	None	419
427	1	0	0	0	0	1460828061	0.00000	516
560	1	0	0	0	0	1460828211	0.00000	806
544	0	0	0	5	0	1460828181	-20.00000	508
460	0	0	0	0	0	1460828160	None	544
498	0	0	0	0	0	1460828057	None	20
572	0	0	0	2	0	1460828076	-8.00000	430
501	0	0	2	0	0	1460828093	-4.00000	607
574	0	0	0	0	0	1460946598	None	473
529	1	0	0	0	0	1460828163	0.00000	483
539	0	0	0	0	0	1460828059	0.00000	425
561	0	0	5	0	0	1460828202	-10.00000	599
442	0	0	1	0	0	1460828058	-2.00000	518
488	1	0	0	1	0	1460828201	-4.00000	388
605	0	0	2	0	0	1460828159	-4.00000	493
404	0	0	5	0	0	1460828077	-10.00000	604
573	0	0	2	0	0	1460828098	-4.00000	521
604	1	0	2	1	0	1460828081	-8.00000	474
429	0	0	2	0	0	1460828097	-4.00000	475
584	0	0	1	1	0	1460828154	-6.00000	504
20	0	0	0	9	0	1460828166	-36.00000	453
379	0	1	2	0	0	1460828156	-5.00000	546
415	1	0	1	0	0	1460828206	-2.00000	495
688	7	0	4	0	0	1460828196	-8.00000	435
229	0	0	1	5	0	1460828186	-22.00000	397
578	0	1	3	1	0	1460828072	-11.00000	576
431	0	0	7	1	0	1460828193	-18.00000	387
422	1	0	1	4	0	1460828057	-18.00000	458
588	1	0	2	0	0	1460828074	-4.00000	585
392	5	1	4	1	0	1460828060	-13.00000	383
465	0	0	7	0	0	1460828103	-14.00000	402
478	0	0	0	0	0	1460828058	None	229
583	0	0	0	0	0	1460828074	0.00000	563
448	2	1	1	1	0	1460828153	-7.00000	449
542	0	0	2	0	0	1460828081	-4.00000	465
598	1	0	0	6	0	1460827926	-24.00000	593
449	1	2	1	0	0	1460828103	-4.00000	468
523	0	0	1	0	0	1460828102	-2.00000	436
387	0	0	15	1	0	1460828102	-34.00000	523
458	1	0	1	0	0	1460828181	-2.00000	489
569	0	0	6	1	0	1460828075	-16.00000	583
414	0	0	7	2	0	1460828091	-22.00000	529
434	1	0	4	1	0	1460828192	-12.00000	400
536	0	1	0	5	0	1460828195	-21.00000	524
512	0	0	0	1	0	1460828117	-4.00000	697
505	0	0	0	4	0	1460828199	-16.00000	565
16	0	0	20	0	0	1460828194	-40.00000	601
399	1	0	1	2	0	1460828063	-10.00000	415
570	1	0	8	1	0	1460828195	-20.00000	602
533	0	0	0	0	0	1460828078	None	522
592	0	0	1	4	0	1460828212	-18.00000	394
568	3	0	5	0	0	1460828155	-10.00000	574
397	0	0	0	1	0	1460828203	-4.00000	422
513	0	0	3	0	0	1460828151	-6.00000	464
579	0	1	1	3	0	1460828073	-15.00000	556
454	1	0	5	2	0	1460828100	-18.00000	492
378	12	0	4	2	0	1460828100	-16.00000	656
476	1	1	4	0	0	1460828155	-9.00000	550
401	0	0	3	2	0	1460828059	-14.00000	447
595	0	2	5	0	0	1460828103	-12.00000	413
601	1	0	7	1	0	1460828076	-18.00000	515
522	0	1	0	1	0	1460828147	-5.00000	479
552	2	0	0	1	0	1460828088	-4.00000	503
394	1	0	0	0	0	1460828157	0.00000	431
487	1	0	2	5	0	1460828179	-24.00000	708
516	1	1	8	3	0	1460828082	-29.00000	421
388	1	0	0	0	0	1460828069	0.00000	577
67	1	0	0	0	0	1460828212	0.00000	434
393	0	0	3	3	0	1460828126	-18.00000	406
508	0	0	1	0	0	1460828078	-2.00000	499
436	1	0	0	0	0	1460828122	0.00000	528
528	0	0	2	1	0	1460828094	-8.00000	488
447	8	1	3	0	0	1460828098	-7.00000	409
547	0	0	0	0	0	1460828100	None	549
386	5	0	2	0	0	1460828080	-4.00000	433
435	0	0	5	0	0	1460828214	-10.00000	510
423	1	2	2	2	0	1460828061	-14.00000	420
495	0	0	0	0	0	1460828208	None	170
170	0	1	7	0	0	1460828098	-15.00000	513
806	0	0	7	1	0	1460828202	-18.00000	398
402	0	0	7	0	0	1460828073	-14.00000	393
502	0	0	0	2	0	1460828095	-8.00000	505
475	1	0	14	0	0	1460828157	-28.00000	595
656	0	0	0	0	0	1460828159	None	703
418	0	0	1	3	0	1460828200	-14.00000	542
507	4	0	0	0	0	1460828097	0.00000	67
433	1	0	3	7	0	1460828153	-34.00000	555
419	0	0	0	0	0	1460828114	None	471
445	1	1	1	1	0	1460828156	-7.00000	494
527	0	0	2	0	0	1460828081	-4.00000	514
546	0	0	5	0	0	1460828092	-10.00000	531
564	0	0	1	0	0	1460828197	-2.00000	466
565	1	1	3	0	0	1460828060	-7.00000	512
535	1	0	5	0	0	1460828199	-10.00000	417
517	1	0	0	0	0	1460828147	0.00000	581
470	0	0	29	1	0	1460828104	-62.00000	578
406	0	1	6	0	0	1460828151	-13.00000	497
593	4	0	4	1	0	1460828151	-12.00000	472
486	0	0	9	1	0	1460828079	-22.00000	428
464	0	0	1	0	0	1460828057	-2.00000	429
577	0	1	3	0	0	1460828199	-7.00000	462
697	0	0	0	0	0	1460828077	None	598
407	1	2	3	1	0	1460828058	-12.00000	586
469	82	0	11	1	0	1460828099	-26.00000	688
695	0	1	7	0	0	1460828193	-15.00000	568
515	0	2	8	0	0	1460828098	-18.00000	606
580	4	0	5	0	0	1460828184	-10.00000	538
576	1	0	0	0	0	1460828072	0.00000	582
521	1	0	0	0	0	1460828101	0.00000	507
514	0	0	2	0	0	1460828177	-4.00000	392
409	1	0	0	0	0	1460828099	0.00000	423
549	2	1	3	0	0	1460828094	-7.00000	454
444	0	0	2	0	0	1460828158	-4.00000	378
509	1	0	0	2	0	1460828065	-8.00000	592
575	0	0	1	0	0	1460828060	-2.00000	525
493	0	0	5	0	0	1460828213	-10.00000	569
383	1	0	3	1	0	1460828074	-10.00000	534
413	1	0	9	1	0	1460828058	-22.00000	445
562	0	2	0	0	0	1460828059	-2.00000	502
412	0	0	3	1	0	1460828078	-10.00000	401
591	0	0	10	0	0	1460828097	-20.00000	535
398	0	0	3	0	0	1460828081	-6.00000	418
548	0	0	7	0	0	1460828170	-14.00000	661
557	1	1	2	1	0	1460828174	-9.00000	520
428	0	0	5	0	0	1460828202	-10.00000	467
503	1	1	3	0	0	1460828153	-7.00000	527
603	1	0	0	0	0	1460828079	0.00000	478
541	5	0	0	4	0	1460828168	-16.00000	399
439	0	1	4	3	0	1460828201	-21.00000	395
463	1	0	0	0	0	1460828158	0.00000	424
581	0	0	3	0	0	1460828201	-6.00000	548
440	0	0	8	0	0	1460828172	-16.00000	584
497	0	0	0	0	0	1460828076	None	558
484	0	0	1	0	0	1460828097	-2.00000	459
597	0	1	1	2	0	1460828077	-11.00000	451
504	2	0	2	0	0	1460828192	-4.00000	551
395	2	0	1	0	0	1460828101	-2.00000	579
708	0	1	5	1	0	1460828158	-15.00000	439
473	1	0	0	0	0	1460946583	0.00000	476
