Author	submission_status_viewed	user_enrolment_deleted	group_created	course_module_deleted	entry_created	assessable_uploaded	discussion_moved	user_graded	course_updated	course_section_updated	submission_viewed	role_unassigned	subscription_created	user_profile_viewed	user_deleted	course_module_instance_list_viewed	phase_switched	message_contact_unblocked	user_loggedin	tag_flagged	course_module_updated	message_contact_added	submission_created	grade_deleted	message_viewed	grading_table_viewed	course_module_viewed	discussion_created	tag_added	course_viewed	user_enrolment_created	user_report_viewed	blog_entries_viewed	subscription_deleted	blog_entry_updated	submission_reassessed	course_searched	email_failed	blog_comment_created	report_viewed	user_password_updated	discussion_viewed	tag_deleted	calendar_event_created	assessable_submitted	message_sent	submission_updated	discussion_deleted	user_created	discussion_subscription_deleted	user_loggedout	assessment_reevaluated	post_updated	group_member_added	user_loggedinas	grade_report_viewed	group_member_removed	user_login_failed	response_submitted	calendar_event_updated	discussion_subscription_created	tag_created	calendar_event_deleted	blog_association_created	post_deleted	group_updated	post_created	blog_entry_created	message_contact_removed	notes_viewed	role_assigned	course_created	course_module_created	assessment_evaluated	submission_assessed	folder_updated	role_capabilities_updated	tag_removed	submission_confirmation_form_viewed	blog_entry_deleted	user_list_viewed	activity_report_viewed	message_contact_blocked	blog_comment_deleted	langpack_updated	submission_form_viewed	user_updated	ActionCount	Time
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	244	0	0	0	0	19	0	0	8	0	0	0	0	0	0	0	0	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	562	38266
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	10534
2	50	4	8	5	0	5	1	0	0	14	222	6	0	39	9	0	26	0	4761	0	78	0	1	464	25	7	9657	3	0	18987	2	5	47	0	0	33	5	0	0	135	9	87	0	8	0	123	1	2	252	0	116	1	0	4	1	4	16	73	0	99	5	0	5	0	0	4	0	0	0	0	6	1	11	1	1	1	14	0	0	0	15	2	0	0	83	17	113	35674	110823
6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	75
8	1	1	0	0	0	0	0	0	0	0	0	1	0	7	0	0	0	0	7	0	0	0	0	0	0	0	9	0	0	22	2	0	1	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	2	5	0	0	0	0	3	0	4	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	4004
9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	47
10	1	0	0	0	0	9	0	0	0	0	31	0	0	9	0	0	0	0	34	0	0	0	6	0	1	0	93	0	0	90	1	2	1	0	0	0	0	0	0	0	1	21	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	320	3549
11	13	0	1	0	0	22	0	1133	0	5	97	1	2	16	0	0	40	0	169	0	28	0	16	0	72	1	681	1	0	720	3	3	110	0	4	2	1	0	1	20	2	27	3	7	1	3	16	1	1	0	96	244	0	239	0	9	14	1	0	28	2	0	0	6	0	0	1	4	0	0	6	0	13	218	9	0	2	3	1	8	2	0	0	0	0	5	8	4142	66778
12	0	0	0	0	0	12	0	0	0	0	65	0	0	7	0	0	0	0	51	0	0	0	9	0	3	0	155	1	0	67	1	0	41	0	2	1	0	0	0	0	0	11	0	0	0	2	9	0	0	0	12	0	0	0	0	5	0	8	0	0	1	0	0	0	0	0	2	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	470	10777
13	1	0	0	0	0	11	0	0	0	0	118	0	0	10	0	0	0	0	65	0	0	0	11	0	0	0	233	0	0	264	1	2	152	0	2	0	0	0	0	0	3	10	0	0	0	0	13	0	0	0	1	0	0	0	0	3	0	10	0	0	0	0	0	3	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	18	0	0	0	0	0	1	935	8413
14	1	0	0	0	0	12	0	0	0	0	63	0	0	7	0	0	0	0	71	0	0	0	12	0	3	0	124	1	0	169	1	4	45	0	2	0	0	0	0	0	1	10	0	0	0	2	14	0	0	0	0	0	0	0	0	6	0	5	0	0	2	0	0	3	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	562	10026
15	0	0	0	0	0	24	0	0	0	0	171	0	0	9	0	0	0	0	216	0	0	1	11	0	12	0	430	6	0	609	1	0	161	0	3	2	0	0	1	0	1	52	0	0	0	60	14	0	0	0	6	0	1	0	0	41	0	16	0	0	6	0	0	0	0	0	3	1	0	0	1	0	0	0	2	0	0	0	0	0	19	0	0	0	0	0	1	1881	27620
16	1	0	0	0	0	11	0	0	0	0	47	0	0	9	0	0	0	0	82	0	0	0	8	0	3	0	118	1	0	196	1	0	152	0	3	0	0	0	1	0	0	4	0	0	0	1	9	0	0	0	11	0	1	0	0	5	0	10	0	0	1	0	0	4	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	684	12045
17	0	0	0	0	0	13	0	0	0	0	63	0	0	17	0	0	0	0	50	0	0	1	13	0	2	0	151	1	2	157	1	0	87	0	3	3	0	0	0	0	1	3	1	0	0	2	16	0	0	0	2	0	0	0	0	9	0	11	0	0	1	1	0	2	0	0	0	3	0	0	1	0	0	0	1	0	0	1	0	2	4	0	0	0	0	0	4	629	11052
18	0	0	0	0	0	1	0	0	0	0	1	0	0	4	0	0	0	0	17	0	0	0	3	0	0	0	25	0	0	63	1	0	46	0	1	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	6	0	0	0	0	3	0	1	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181	3139
19	0	0	0	0	0	18	0	0	0	0	149	0	1	125	0	0	0	0	119	0	0	0	11	0	43	0	492	4	0	219	1	2	49	0	1	0	0	0	1	0	1	97	0	0	0	39	12	0	0	1	11	0	2	0	0	64	0	24	0	0	5	0	0	2	0	0	1	1	0	0	1	0	0	0	2	0	0	0	0	0	14	0	0	1	0	0	1	1514	33757
20	0	0	0	0	0	7	0	0	0	0	23	0	0	5	0	0	0	0	45	0	0	0	7	0	0	0	80	0	0	107	1	0	117	0	1	0	0	0	1	0	0	2	0	0	0	0	7	0	0	0	18	0	0	0	0	4	0	4	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	437	9506
21	0	0	0	0	0	12	0	0	0	0	63	0	0	8	0	0	0	0	70	0	0	0	9	0	3	0	170	2	0	178	1	4	87	0	1	0	0	0	2	0	0	10	0	0	0	27	9	0	0	0	10	0	0	0	0	8	0	2	0	0	2	0	0	0	0	0	2	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	686	11071
22	0	0	0	0	0	8	0	0	0	0	33	0	0	6	0	0	0	0	59	0	0	0	7	0	2	0	157	1	0	186	1	0	124	0	1	0	0	0	0	0	1	21	0	0	0	1	7	0	0	0	10	0	0	0	0	3	0	6	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	9	0	0	0	0	0	2	650	12559
23	0	0	0	0	0	24	0	0	0	0	166	0	0	33	0	0	0	0	134	0	0	1	12	0	7	0	467	8	0	449	1	0	181	0	4	1	0	0	8	0	1	69	0	0	0	8	14	0	0	0	3	0	0	0	0	28	0	13	0	0	3	0	0	5	1	0	2	3	0	0	1	0	0	0	2	0	0	0	0	2	9	0	0	0	0	0	1	1661	38730
