Author	subscription_deleted	submission_status_viewed	submission_updated	user_enrolment_deleted	group_created	blog_entry_created	course_module_viewed	notes_viewed	subscribers_viewed	submission_form_viewed	group_member_removed	all_submissions_downloaded	discussion_deleted	assessable_uploaded	course_viewed	user_created	user_graded	role_assigned	user_enrolment_created	course_updated	subscription_created	blog_entry_updated	course_module_created	user_report_viewed	assessment_evaluated	submission_assessed	folder_updated	blog_entries_viewed	user_loggedout	course_module_deleted	submission_viewed	assessment_reevaluated	submission_reassessed	role_unassigned	post_updated	group_member_added	user_loggedinas	post_deleted	blog_comment_deleted	message_contact_blocked	calendar_event_updated	course_resources_list_viewed	grade_report_viewed	discussion_created	blog_entry_deleted	user_list_viewed	activity_report_viewed	course_searched	course_user_report_viewed	discussion_subscription_created	user_login_failed	report_viewed	user_profile_viewed	user_password_updated	course_module_instance_list_viewed	phase_switched	discussion_viewed	langpack_updated	discussion_subscription_deleted	user_loggedin	tag_flagged	user_updated	blog_comment_created	course_module_updated	recent_activity_viewed	blog_association_created	calendar_event_created	message_viewed	message_contact_added	submission_created	message_contact_unblocked	message_contact_removed	message_sent	post_created	ActionCount	Time
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31015	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31068	25741
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	1107
2	0	3	0	3	0	5	542	0	0	0	3	0	0	2	667	1	3326	3	3	3	0	5	11	2	0	0	0	153	23	0	53	6	0	3	1	14	21	0	0	0	76	0	42	1	5	10	1	2	5	1	167	59	58	2	0	15	42	9	0	185	0	5	0	27	0	10	12	1	0	0	0	0	16	0	5604	65922
10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	1	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	1348
12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6	4	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	3	0	0	0	0	0	0	0	0	0	0	0	35	1918
13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	1381
14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	1383
15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	1384
16	0	0	3	0	0	0	64	0	0	0	0	0	0	3	13	0	0	0	0	0	0	0	0	0	0	0	0	43	7	0	16	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	10	0	0	41	0	1	3	0	0	0	0	8	0	2	0	0	0	0	220	3513
